Tech node (nm), Capacity (bytes), Number of banks, Associativity, Output width (bits), Access time (ns), Random cycle time (ns), Multisubbank interleave cycle time (ns), Delay request network (ns), Delay inside mat (ns), Delay reply network (ns), Tag array access time (ns), Refresh period (microsec), DRAM array availability (%), Dynamic read energy (nJ), Dynamic write energy (nJ), Dynamic read power (mW), Standby leakage per bank(mW), Leakage per bank with leak power management (mW), Refresh power as percentage of standby leakage, Area (mm2), Ndwl, Ndbl, Nspd, Ndcm, Ndsam_level_1, Ndsam_level_2, Ntwl, Ntbl, Ntspd, Ntcm, Ntsam_level_1, Ntsam_level_2, Area efficiency, Resistance per unit micron (ohm-micron), Capacitance per unit micron (fF per micron), Unit-length wire delay (ps), FO4 delay (ps), delay route to bank (including crossb delay) (ps), Crossbar delay (ps), Dyn read energy per access from closed page (nJ), Dyn read energy per access from open page (nJ), Leak power of an subbank with page closed (mW), Leak power of a subbank with page  open (mW), Leak power of request and reply networks (mW), Number of subbanks, Page size in bits, Activate power, Read power, Write power, Precharge power, tRCD, CAS latency, Precharge delay, Perc dyn energy bitlines, perc dyn energy wordlines, perc dyn energy outside mat, Area opt (perc), Delay opt (perc), Repeater opt (perc), Aspect ratio
65, 1024, 1, 2, 128, 0.776612, 0.297349, 0.164555, 0.164555, 0.152715, 0.118547, 0.487722, 0, 0, 0.0114263, 0.0103264, 38.4273, 1.12667, 1.12667, 0, 0.0489151, 2, 2, 1, 1, 2, 2, 2, 4, 0.5, 1, 1, 1, 13.5589, 0.734018, 0.282409, 0.000103647, 13.0922, 0, 0, 0.0101974, 0.00558139, 0.183607, 0.318142, 0, 1, 576, 0.00210355, 0.00541626, 0.00422703, 0.0025947, 0, 0, 0, 6.96333, 3.00852, 34.6577, 50, 10, 10, 0.644179
65, 1024, 1, 4, 128, 1e+39, 1e+39, 0, 0, 0, 0, 0, 0, 0, 1e+39, 1e+39, 1000, 1e+33, 1e+33, nan, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.734018, 0.282409, 0.000103647, 13.0922, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 50, 10, 10, nan
65, 512, 1, 2, 64, 0.81649, 0.239157, 0.200385, 0.200385, 0.142166, 0.152839, 0.487722, 0, 0, 0.0085699, 0.00867072, 35.8338, 1.19576, 1.19576, 0, 0.0223095, 4, 2, 1, 2, 2, 1, 2, 4, 0.5, 1, 1, 1, 18.4036, 0.734018, 0.282409, 0.000103647, 13.0922, 0, 0, 0.00734096, 0.00512777, 0.0591407, 0.0927743, 0.470264, 1, 144, 0.000867762, 0.00295724, 0.00238691, 0.00156655, 0, 0, 0, 4.5784, 1.64235, 48.4362, 50, 10, 10, 0.855707
65, 512, 1, 4, 64, 1e+39, 1e+39, 0, 0, 0, 0, 0, 0, 0, 1e+39, 1e+39, 1000, 1e+33, 1e+33, nan, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.734018, 0.282409, 0.000103647, 13.0922, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 50, 10, 10, nan
65, 512, 1, 4, 32, 0.770684, 0.24509, 0.159636, 0.159636, 0.138525, 0.118217, 0.509497, 0, 0, 0.00588914, 0.00561248, 24.0285, 1.20592, 1.20592, 0, 0.0206778, 2, 2, 1, 1, 4, 2, 2, 4, 0.5, 1, 1, 1, 27.4927, 0.734018, 0.282409, 0.000103647, 13.0922, 0, 0, 0.00363537, 0.00118812, 0.114555, 0.181822, 0, 1, 288, 0.00110454, 0.00106169, 0.000740085, 0.0013889, 0, 0, 0, 6.75525, 3.32002, 11.334, 50, 10, 10, 0.648129
65, 1024, 1, 2, 256, 1e+39, 1e+39, 0, 0, 0, 0, 0, 0, 0, 1e+39, 1e+39, 1000, 1e+33, 1e+33, nan, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.734018, 0.282409, 0.000103647, 13.0922, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 50, 10, 10, nan
65, 512, 1, 2, 128, 1e+39, 1e+39, 0, 0, 0, 0, 0, 0, 0, 1e+39, 1e+39, 1000, 1e+33, 1e+33, nan, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.734018, 0.282409, 0.000103647, 13.0922, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 50, 10, 10, nan
65, 512, 1, 4, 128, 1e+39, 1e+39, 0, 0, 0, 0, 0, 0, 0, 1e+39, 1e+39, 1000, 1e+33, 1e+33, nan, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.734018, 0.282409, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 50, 10, 10, nan
65, 512, 1, 2, 256, 1e+39, 1e+39, 0, 0, 0, 0, 0, 0, 0, 1e+39, 1e+39, 1000, 1e+33, 1e+33, nan, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.734018, 0.282409, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 50, 10, 10, nan
65, 512, 1, 1, 128, 0.487678, 0.232466, 0.201347, 0.201347, 0.135475, 0.150857, 0.472325, 0, 0, 0.0177946, 0.0183861, 76.5471, 2.41419, 2.41419, 0, 0.0478622, 4, 2, 1, 1, 1, 1, 2, 4, 0.5, 1, 1, 1, 6.92861, 0.734018, 0.282409, 0.000103647, 13.0922, 0, 0, 0.0171303, 0.0158184, 0.0268206, 0.0604542, 1.80631, 2, 144, 0.000738087, 0.00951632, 0.00842425, 0.000786005, 0, 0, 0, 1.11783, 0.395479, 82.7139, 50, 10, 10, 1.30439
