l1size,l1.read,l1.write,l1.instruction,exclusive,modified,invalidate,l2.read,l2.write,l2.instruction
8 kiB,66.06,80.60,88.92,28126.25,0,56386.0,99.21,93.63,99.88
64 kiB,79.73,92.06,99.21,39552.50,0,130222.5,99.44,91.96,98.43
